codi;municipi;comarca;any;Lloguer_Mitja;Població;Poblacio_Estrangera_Total;Percentatge_Poblacio_Estrangera;Preu / m2 Habitatge total;Compres totals;Rati_VPO;Rati_Obra_Nova;RFDB_Nominal;IPC_Index;Lloguer_Real;RFDB_Real;Tasa_Esforç_Lloguer;Preu_Vivenda_Mig;Anys_Salari_Compra;Tasa_Esforç_Compra;provincia;distancia_km;costa
08001;Abrera;Baix Llobregat;2025;790,4648387;132078;10870;8,23;2106,55;129;2,32558139534884e+00;4,49612403100775e+01;19389;100,0;790,464838700000;19389,0000000000;48,9224718366084;189589,5;9,77819897880242;44,5145528150373;Barcelona;35;0
08003;Alella;Maresme;2025;1432,9348720;102506;13910;13,57;4057,15;79;0,00000000000000e+00;7,59493670900000e+00;26404;100,0;1432,934872000000;26404,0000000000;65,1235360702924;365143,5;13,82909786396001;62,9559808083351;Barcelona;18;0
08005;Ametlla del Vallès, l';Vallès Oriental;2025;1047,7635710;94745;6310;6,66;2181,27;108;9,25925925925926e-01;3,24074074074074e+01;24932;100,0;1047,763571000000;24932,0000000000;50,4298205198139;196314,3;7,87398925076207;35,8457739638893;Barcelona;35;0
08006;Arenys de Mar;Maresme;2025;856,6663905;169792;22820;13,44;2702,89;194;1,03092783505155e+00;2,47422680412371e+01;19760;100,0;856,666390500000;19760,0000000000;52,0242747267207;243260,1;12,31073380566802;56,0437368243647;Barcelona;40;1
08007;Arenys de Munt;Maresme;2025;805,8302222;95232;7590;7,97;2414,06;96;0,00000000000000e+00;2,18750000000000e+01;19320;100,0;805,830222200000;19320,0000000000;50,0515665962733;217265,4;11,24562111801242;51,1948873489761;Barcelona;45;0
08009;Argentona;Maresme;2025;914,9388542;128947;8330;6,46;3035,81;110;0,00000000000000e+00;2,00000000000000e+01;19805;100,0;914,938854200000;19805,0000000000;55,4368404463519;273222,9;13,79565261297652;62,8037236907878;Barcelona;35;0
08010;Artés;Bages;2025;511,1222222;62115;8460;13,62;1268,15;59;1,69491525423729e+00;3,22033898305085e+01;18387;100,0;511,122222200000;18387,0000000000;33,3576258573992;114133,5;6,20729319627998;28,2582591562346;Barcelona;72;0
08015;Badalona;Barcelonès;2025;949,2385285;2306294;425050;18,43;3063,76;2537;1,93141505715412e+03;4,08750492707923e+04;17971;100,0;949,238528500000;17971,0000000000;63,3846883423293;275738,4;15,34352011574203;69,8502799995626;Barcelona;10;1
08019;Barcelona;Barcelonès;2025;1125,4949030;17129667;4376630;25,55;4748,34;12023;4,65773933294519e+02;4,74507194543791e+02;23003;100,0;1125,494903000000;23003,0000000000;58,7138148763205;427350,6;18,57803765000000;84,5751901594197;Barcelona;0;1
08020;Begues;Baix Llobregat;2025;1248,5406900;75465;6090;8,07;2966,92;59;0,00000000000000e+00;1,18644067796610e+01;23630;100,0;1248,540690000000;23630,0000000000;63,4045208633094;267022,8;11,30016081252645;51,4431754148278;Barcelona;32;0
08022;Berga;Berguedà;2025;457,3897200;175385;31850;18,16;1203,79;148;0,00000000000000e+00;7,43243243243243e+00;17940;100,0;457,389720000000;17940,0000000000;30,5946301003344;108341,1;6,03908026755853;27,4924818064408;Barcelona;108;0
08023;Bigues i Riells del Fai;Vallès Oriental;2025;802,7843478;101306;5430;5,36;1692,89;97;0,00000000000000e+00;9,27835051546392e+00;20739;100,0;802,784347800000;20739,0000000000;46,4507072356430;152360,1;7,34654997800000;33,4446443283032;Barcelona;41;0
08029;Cabrera de Mar;Maresme;2025;1270,0526530;50543;4190;8,29;3794,16;37;0,00000000000000e+00;3,51351351351351e+01;24788;100,0;1270,052653000000;24788,0000000000;61,4839109085041;341474,4;13,77579473939003;62,7133221388786;Barcelona;28;1
08030;Cabrils;Maresme;2025;1401,7487230;77528;11040;14,24;2805,82;55;0,00000000000000e+00;1,81818181818182e+00;24516;100,0;1401,748723000000;24516,0000000000;68,6122722956437;252523,8;10,30036710719530;46,8916859435473;Barcelona;27;0
08033;Caldes de Montbui;Vallès Oriental;2025;786,4640741;185492;19050;10,27;2313,94;157;0,00000000000000e+00;3,18471337579618e+01;19644;100,0;786,464074100000;19644,0000000000;48,0430100244349;208254,6;10,60143555284056;48,2622785499844;Barcelona;34;0
08035;Calella;Maresme;2025;688,3219087;207750;47180;22,71;2275,52;280;0,00000000000000e+00;2,75000000000000e+01;16319;100,0;688,321908700000;16319,0000000000;50,6150064611802;204796,8;12,54959249954041;57,1311239768212;Barcelona;50;1
08040;Canet de Mar;Maresme;2025;751,5169412;151974;16170;10,64;2331,33;162;1,23456790123457e+00;2,83950617283951e+01;17957;100,0;751,516941200000;17957,0000000000;50,2211020459988;209819,7;11,68456312301609;53,1931394920172;Barcelona;43;1
