codi;municipi;comarca;any;Lloguer_Mitja;Població;Poblacio_Estrangera_Total;Percentatge_Poblacio_Estrangera;Preu / m2 Habitatge total;Compres totals;Rati_VPO;Rati_Obra_Nova;RFDB_Nominal;IPC_Index;Lloguer_Real;RFDB_Real;Tasa_Esforç_Lloguer;Preu_Vivenda_Mig;Anys_Salari_Compra;Tasa_Esforç_Compra
08001;Abrera;Baix Llobregat;2025;790,4648387;132078;10870;8,23;2106,55;129;2,3255813953488373;44,96124031007752;19389;100;790,4648387;19389;48,92247183660839;189589,50000000003;9,778198978802415;44,51455281503728
08003;Alella;Maresme;2025;1432,934872;102506;13910;13,57;4057,15;79;0;7,594936709;26404;100;1432,934872;26404;65,12353607029239;365143,5;13,829097863960007;62,95598080833512
08005;Ametlla del Vallès, l';Vallès Oriental;2025;1047,763571;94745;6310;6,66;2181,27;108;0,9259259259259258;32,407407407407405;24932;100;1047,763571;24932;50,429820519813894;196314,3;7,873989250762072;35,84577396388926
08006;Arenys de Mar;Maresme;2025;856,6663905;169792;22820;13,44;2702,89;194;1,0309278350515463;24,742268041237114;19760;100;856,6663905;19760;52,024274726720655;243260,09999999998;12,310733805668015;56,04373682436466
08007;Arenys de Munt;Maresme;2025;805,8302222;95232;7590;7,97;2414,06;96;0;21,875;19320;100;805,8302222;19320;50,05156659627329;217265,4;11,245621118012423;51,19488734897608
08009;Argentona;Maresme;2025;914,9388542;128947;8330;6,46;3035,81;110;0;20;19805;100;914,9388542;19805;55,43684044635193;273222,9;13,795652612976522;62,803723690787805
08010;Artés;Bages;2025;511,1222222;62115;8460;13,62;1268,15;59;1,694915254237288;32,20338983050847;18387;100;511,1222222;18387;33,35762585739925;114133,50000000001;6,2072931962799816;28,258259156234562
08015;Badalona;Barcelonès;2025;949,2385285;2306294;425050;18,43;3063,76;2.537;1931,415057154119;40875,049270792275;17971;100;949,2385285;17971;63,38468834232931;275738,4;15,343520115742031;69,85027999956259
08019;Barcelona;Barcelonès;2025;1125,494903;17129667;4376630;25,55;4748,34;12.023;465,7739332945188;474,50719454379106;23003;100;1125,494903;23003;58,713814876320484;427350,60000000003;18,57803765;84,57519015941968
08020;Begues;Baix Llobregat;2025;1248,54069;75465;6090;8,07;2966,92;59;0;11,864406779661017;23630;100;1248,54069;23630;63,40452086330936;267022,8;11,30016081252645;51,44317541482785
08022;Berga;Berguedà;2025;457,38972;175385;31850;18,16;1203,79;148;0;7,4324324324324325;17940;100;457,38972;17940;30,594630100334445;108341,09999999999;6,039080267558528;27,492481806440814
08023;Bigues i Riells del Fai;Vallès Oriental;2025;802,7843478;101306;5430;5,36;1692,89;97;0;9,278350515463918;20739;100;802,7843478;20739;46,45070723564299;152360,1;7,346549978;33,44464432830319
08029;Cabrera de Mar;Maresme;2025;1270,052653;50543;4190;8,29;3794,16;37;0;35,13513513513514;24788;100;1270,052653;24788;61,483910908504114;341474,39999999997;13,775794739390026;62,71332213887864
08030;Cabrils;Maresme;2025;1401,748723;77528;11040;14,24;2805,82;55;0;1,8181818181818181;24516;100;1401,748723;24516;68,61227229564366;252523,80000000002;10,300367107195301;46,89168594354733
08033;Caldes de Montbui;Vallès Oriental;2025;786,4640741;185492;19050;10,27;2313,94;157;0;31,84713375796178;19644;100;786,4640741;19644;48,04301002443494;208254,6;10,601435552840563;48,26227854998441
08035;Calella;Maresme;2025;688,3219087;207750;47180;22,71;2275,52;280;0;27,500000000000004;16319;100;688,3219087;16319;50,61500646118022;204796,8;12,549592499540413;57,13112397682122
