codigo_ine,municipio,comarca,provincia,poblacion,distancia_km,costa
080193,Barcelona,Barcelonès,Barcelona,1636193,0,1
081017,L'Hospitalet de Llobregat,Barcelonès,Barcelona,265444,0,0
080155,Badalona,Barcelonès,Barcelona,223506,10,1
082457,Santa Coloma de Gramenet,Barcelonès,Barcelona,117981,9,0
081944,Sant Adrià de Besòs,Barcelonès,Barcelona,36918,8,1
082798,Terrassa,Vallès Occidental,Barcelona,224114,28,0
081878,Sabadell,Vallès Occidental,Barcelona,215760,26,0
082055,Sant Cugat del Vallès,Vallès Occidental,Barcelona,95744,17,0
081843,Rubí,Vallès Occidental,Barcelona,79007,24,0
082665,Cerdanyola del Vallès,Vallès Occidental,Barcelona,57291,18,0
081800,Ripollet,Vallès Occidental,Barcelona,39031,16,0
081251,Montcada i Reixac,Vallès Occidental,Barcelona,36666,14,0
082520,Barberà del Vallès,Vallès Occidental,Barcelona,33322,19,0
080518,Castellar del Vallès,Vallès Occidental,Barcelona,24900,34,0
082602,Santa Perpètua de Mogoda,Vallès Occidental,Barcelona,25930,20,0
082384,Sant Quirze del Vallès,Vallès Occidental,Barcelona,20180,25,0
082536,Sant Feliu del Racó (Castellar),Vallès Occidental,Barcelona,6000,36,0
081202,Matadepera,Vallès Occidental,Barcelona,9752,32,0
080734,Cornellà de Llobregat,Baix Llobregat,Barcelona,89243,12,0
082004,Sant Boi de Llobregat,Baix Llobregat,Barcelona,83371,15,0
080569,Castelldefels,Baix Llobregat,Barcelona,67307,22,1
083015,Viladecans,Baix Llobregat,Barcelona,66720,18,1
081691,El Prat de Llobregat,Baix Llobregat,Barcelona,65030,11,1
080898,Gavà,Baix Llobregat,Barcelona,47057,20,1
080773,Esplugues de Llobregat,Baix Llobregat,Barcelona,46414,8,0
082110,Sant Feliu de Llobregat,Baix Llobregat,Barcelona,46056,16,0
081140,Martorell,Baix Llobregat,Barcelona,28684,32,0
082630,Sant Vicenç dels Horts,Baix Llobregat,Barcelona,28079,21,0
081960,Sant Andreu de la Barca,Baix Llobregat,Barcelona,26965,27,0
081235,Molins de Rei,Baix Llobregat,Barcelona,26235,18,0
081476,Olesa de Montserrat,Baix Llobregat,Barcelona,24272,38,0
080760,Esparreguera,Baix Llobregat,Barcelona,22442,39,0
082218,Sant Just Desvern,Baix Llobregat,Barcelona,19806,10,0
082441,Sant Joan Despí,Baix Llobregat,Barcelona,34000,11,0
080689,Cervelló,Baix Llobregat,Barcelona,9307,25,0
080018,Abrera,Baix Llobregat,Barcelona,12697,35,0
081574,Pallejà,Baix Llobregat,Barcelona,11500,22,0
082179,Sant Climent de Llobregat,Baix Llobregat,Barcelona,5200,22,0
082595,Santa Coloma de Cervelló,Baix Llobregat,Barcelona,8300,18,0
081219,Mataró,Maresme,Barcelona,128956,31,1
081725,Premià de Mar,Maresme,Barcelona,28518,22,1
081638,Pineda de Mar,Maresme,Barcelona,28084,55,1
081186,El Masnou,Maresme,Barcelona,23829,19,1
082982,Vilassar de Mar,Maresme,Barcelona,21067,24,1
080358,Calella,Maresme,Barcelona,19363,50,1
081103,Malgrat de Mar,Maresme,Barcelona,19093,62,1
080060,Arenys de Mar,Maresme,Barcelona,16155,40,1
080076,Arenys de Munt,Maresme,Barcelona,9200,45,0
080039,Alella,Maresme,Barcelona,9800,18,0
080095,Argentona,Maresme,Barcelona,12500,35,0
080402,Canet de Mar,Maresme,Barcelona,14800,43,1
082842,Tordera,Maresme,Barcelona,17500,65,0
082191,Sant Vicenç de Montalt,Maresme,Barcelona,6500,38,1
080291,Cabrera de Mar,Maresme,Barcelona,4800,28,1
080969,Granollers,Vallès Oriental,Barcelona,62419,30,0
081240,Mollet del Vallès,Vallès Oriental,Barcelona,51294,23,0
081593,Parets del Vallès,Vallès Oriental,Barcelona,18889,25,0
080461,Cardedeu,Vallès Oriental,Barcelona,18785,39,0
082026,Sant Celoni,Vallès Oriental,Barcelona,18285,52,0
080863,Les Franqueses del Vallès,Vallès Oriental,Barcelona,20322,35,0
081050,La Llagosta,Vallès Oriental,Barcelona,13155,19,0
080057,L'Ametlla del Vallès,Vallès Oriental,Barcelona,8800,35,0
080885,La Garriga,Vallès Oriental,Barcelona,16900,38,0
082335,Sant Fost de Campsentelles,Vallès Oriental,Barcelona,8900,22,0
082099,Santa Eulàlia de Ronçana,Vallès Oriental,Barcelona,7500,38,0
